host,mx,soa,ns,txt,status_code,a,aaaa,cdn,cdn-name,caa,ptr,cname,has_internal_ips,internal_ips
purchase.zip,,"ns49.domaincontrol.com, dns.jomax.net","ns50.domaincontrol.com, ns49.domaincontrol.com",,NOERROR,34.102.136.180,,True,google,,,,,
purchaseorder.zip,"eforward5.registrar-servers.com, eforward4.registrar-servers.com, eforward1.registrar-servers.com, eforward2.registrar-servers.com, eforward3.registrar-servers.com","dns1.registrar-servers.com, hostmaster.registrar-servers.com","dns1.registrar-servers.com, dns2.registrar-servers.com",v=spf1 include:spf.efwd.registrar-servers.com ~all,NOERROR,162.255.119.6,,,,,,,,
purchaseorders.zip,"eforward5.registrar-servers.com, eforward4.registrar-servers.com, eforward1.registrar-servers.com, eforward2.registrar-servers.com, eforward3.registrar-servers.com","dns1.registrar-servers.com, hostmaster.registrar-servers.com","dns1.registrar-servers.com, dns2.registrar-servers.com",v=spf1 include:spf.efwd.registrar-servers.com ~all,NOERROR,162.255.119.130,,,,,,,,
purina.zip,,"ctrdns1.nestle.com, nestlednsadmin.nestle.com","ctrdns1.nestle.com, amsdns1.nestle.com, aoadns1.nestle.com, eurdns1.nestle.com",,NOERROR,"3.224.123.132, 35.171.238.11",,,,,,,,
purr.zip,"eforward5.registrar-servers.com, eforward4.registrar-servers.com, eforward1.registrar-servers.com, eforward2.registrar-servers.com, eforward3.registrar-servers.com","dns1.registrar-servers.com, hostmaster.registrar-servers.com","dns1.registrar-servers.com, dns2.registrar-servers.com",v=spf1 include:spf.efwd.registrar-servers.com ~all,NOERROR,198.51.233.1,2620:2:6000::bad:dab:cafe,,,,,,,
pvp.zip,"fb.mail.gandi.net, spool.mail.gandi.net","ns1.gandi.net, hostmaster.gandi.net","ns-128-b.gandi.net, ns-87-a.gandi.net, ns-134-c.gandi.net",v=spf1 include:_mailcust.gandi.net ?all,NOERROR,118.27.39.113,,,,,,,,
pwdump.zip,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-d3.googledomains.com, ns-cloud-d1.googledomains.com, ns-cloud-d2.googledomains.com, ns-cloud-d4.googledomains.com",,NOERROR,,,,,,,,,
pwn.zip,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-d2.googledomains.com, ns-cloud-d3.googledomains.com, ns-cloud-d4.googledomains.com, ns-cloud-d1.googledomains.com",,NOERROR,,,,,,,,,
pwners.zip,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-d1.googledomains.com, ns-cloud-d2.googledomains.com, ns-cloud-d3.googledomains.com, ns-cloud-d4.googledomains.com",,NOERROR,,,,,,,,,
pwnhub.zip,"eforward5.registrar-servers.com, eforward4.registrar-servers.com, eforward1.registrar-servers.com, eforward2.registrar-servers.com, eforward3.registrar-servers.com","dns1.registrar-servers.com, hostmaster.registrar-servers.com","dns1.registrar-servers.com, dns2.registrar-servers.com",v=spf1 include:spf.efwd.registrar-servers.com ~all,NOERROR,192.64.119.175,,,,,,,,
pwny.zip,,"dns1.name-services.com, info.name-services.com","dns1.name-services.com, dns4.name-services.com, dns2.name-services.com, dns3.name-services.com, dns5.name-services.com",,NOERROR,"15.197.172.60, 64.98.148.137, 216.40.47.201, 64.98.148.138, 216.40.47.202, 64.98.148.139","2604:4000:2800:2000:64:98:148:137, 2604:4000:0:d:216:40:47:201, 2604:4000:2800:2000:64:98:148:138, 2604:4000:0:d:216:40:47:202, 2604:4000:2800:2000:64:98:148:139",,,,,,,
py.zip,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-c1.googledomains.com, ns-cloud-c3.googledomains.com, ns-cloud-c2.googledomains.com, ns-cloud-c4.googledomains.com",,NOERROR,,,,,,,,,
python3.zip,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-b1.googledomains.com, ns-cloud-b2.googledomains.com, ns-cloud-b3.googledomains.com, ns-cloud-b4.googledomains.com",,NOERROR,"216.239.32.107, 216.239.34.107, 216.239.36.107, 216.239.38.107","2001:4860:4802:32::6b, 2001:4860:4802:34::6b, 2001:4860:4802:36::6b, 2001:4860:4802:38::6b",,,,,,,
python4.zip,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-d4.googledomains.com, ns-cloud-d3.googledomains.com, ns-cloud-d2.googledomains.com, ns-cloud-d1.googledomains.com",,NOERROR,,,,,,,,,
qantas.zip,,"dns11.domainnetwork.com, hostmaster.cscdns.net","dns13.domainnetwork.com, dns11.domainnetwork.com, dns14.domainnetwork.net, dns15.domainnetwork.net, dns12.domainnetwork.com, dns16.domainnetwork.net",v=spf1 -all,NOERROR,,,,,,,,,
qantasmoney.zip,,"dns11.domainnetwork.com, hostmaster.cscdns.net","dns13.domainnetwork.com, dns12.domainnetwork.com, dns16.domainnetwork.net, dns14.domainnetwork.net, dns11.domainnetwork.com, dns15.domainnetwork.net",v=spf1 -all,NOERROR,,,,,,,,,
qcow2.zip,,"karina.ns.cloudflare.com, dns.cloudflare.com","karina.ns.cloudflare.com, matt.ns.cloudflare.com",,NOERROR,"172.67.156.87, 104.21.89.41","2606:4700:3037::6815:5929, 2606:4700:3033::ac43:9c57",True,cloudflare,,,,,
qcrack.zip,"eforward2.registrar-servers.com, eforward3.registrar-servers.com, eforward5.registrar-servers.com, eforward4.registrar-servers.com, eforward1.registrar-servers.com","dns1.registrar-servers.com, hostmaster.registrar-servers.com","dns2.registrar-servers.com, dns1.registrar-servers.com",v=spf1 include:spf.efwd.registrar-servers.com ~all,NOERROR,162.255.119.201,,,,,,,,
qemu.zip,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-b4.googledomains.com, ns-cloud-b2.googledomains.com, ns-cloud-b1.googledomains.com, ns-cloud-b3.googledomains.com",9548f5df11768891a9a3b7d1dc655adac9b31ed6,NOERROR,"216.239.34.21, 216.239.32.21, 216.239.38.21, 216.239.36.21, 216.239.32.107, 216.239.34.107, 216.239.36.107, 216.239.38.107","2001:4860:4802:34::15, 2001:4860:4802:38::15, 2001:4860:4802:32::15, 2001:4860:4802:36::15, 2001:4860:4802:32::6b, 2001:4860:4802:34::6b, 2001:4860:4802:36::6b, 2001:4860:4802:38::6b",,,,,,,
qhub.zip,,"ns21.domaincontrol.com, dns.jomax.net","ns22.domaincontrol.com, ns21.domaincontrol.com",,NOERROR,"34.102.136.180, 97.74.100.11, 173.201.68.11","2603:5:2141::b, 2603:5:2241::b",True,google,,,,,
qif.zip,,"curitiba.ns.porkbun.com, dns.cloudflare.com","maceio.ns.porkbun.com, curitiba.ns.porkbun.com, salvador.ns.porkbun.com, fortaleza.ns.porkbun.com",,NOERROR,"44.227.76.166, 44.227.65.245",,,,,,,,
qnap.zip,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-d1.googledomains.com, ns-cloud-d2.googledomains.com, ns-cloud-d3.googledomains.com, ns-cloud-d4.googledomains.com",,NOERROR,,,,,,,,,
qqq.zip,,"lily.ns.cloudflare.com, dns.cloudflare.com","lily.ns.cloudflare.com, wesley.ns.cloudflare.com",,NOERROR,"188.114.96.0, 188.114.97.0","2a06:98c1:3120::, 2a06:98c1:3121::",True,cloudflare,,,,,
qr.zip,"eforward1.registrar-servers.com, eforward2.registrar-servers.com, eforward3.registrar-servers.com, eforward5.registrar-servers.com, eforward4.registrar-servers.com","dns1.registrar-servers.com, hostmaster.registrar-servers.com","dns2.registrar-servers.com, dns1.registrar-servers.com",v=spf1 include:spf.efwd.registrar-servers.com ~all,NOERROR,162.255.119.165,,,,,,,,
quarterlyreports.zip,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-a3.googledomains.com, ns-cloud-a2.googledomains.com, ns-cloud-a4.googledomains.com, ns-cloud-a1.googledomains.com",,NOERROR,,,,,,,,,
quick.zip,localhost,"ns1.sedoparking.com, hostmaster.sedo.de","ns2.sedoparking.com, ns1.sedoparking.com",v=spf1 -all,NOERROR,64.190.63.111,,,,,,,,
quicken.zip,,"curitiba.ns.porkbun.com, dns.cloudflare.com","maceio.ns.porkbun.com, fortaleza.ns.porkbun.com, salvador.ns.porkbun.com, curitiba.ns.porkbun.com",,NOERROR,"44.227.65.245, 44.227.76.166",,,,,,,,
quik.zip,,"curitiba.ns.porkbun.com, dns.cloudflare.com","curitiba.ns.porkbun.com, fortaleza.ns.porkbun.com, maceio.ns.porkbun.com, salvador.ns.porkbun.com",,NOERROR,"44.227.76.166, 44.227.65.245",,,,,,,,
quintain.zip,"fwd2.hosts.co.uk, fwd1.hosts.co.uk, fwd0.hosts.co.uk","ns0.phase8.net, support.phase8.net","ns0.phase8.net, ns1.phase8.net, ns2.phase8.net",,NOERROR,85.233.160.22,,,,,,,,
quintainliving.zip,"fwd0.hosts.co.uk, fwd1.hosts.co.uk, fwd2.hosts.co.uk","bob.ns.cloudflare.com, dns.cloudflare.com","bob.ns.cloudflare.com, fay.ns.cloudflare.com",,NOERROR,"172.67.147.80, 104.21.28.189",,True,cloudflare,,,,,
quu.zip,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-d4.googledomains.com, ns-cloud-d2.googledomains.com, ns-cloud-d3.googledomains.com, ns-cloud-d1.googledomains.com",,NOERROR,,,,,,,,,
r0y.zip,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-e4.googledomains.com, ns-cloud-e1.googledomains.com, ns-cloud-e2.googledomains.com, ns-cloud-e3.googledomains.com",,NOERROR,"216.239.36.21, 216.239.34.21, 216.239.32.21, 216.239.38.21","2001:4860:4802:38::15, 2001:4860:4802:36::15, 2001:4860:4802:32::15, 2001:4860:4802:34::15",,,,,,,
r15.zip,,"alexis.ns.cloudflare.com, dns.cloudflare.com","alexis.ns.cloudflare.com, iris.ns.cloudflare.com",,NOERROR,,,,,,,,,
r3d.zip,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-d3.googledomains.com, ns-cloud-d2.googledomains.com, ns-cloud-d4.googledomains.com, ns-cloud-d1.googledomains.com",,NOERROR,,,,,,,,,
raccoon.zip,"spool.mail.gandi.net, fb.mail.gandi.net","ns1.gandi.net, hostmaster.gandi.net","ns-61-a.gandi.net, ns-148-b.gandi.net, ns-161-c.gandi.net",v=spf1 include:_mailcust.gandi.net ?all,NOERROR,"23.21.234.173, 23.21.157.88",,,,,,,,
radiantlogic.zip,,"ns45.domaincontrol.com, dns.jomax.net","ns46.domaincontrol.com, ns45.domaincontrol.com",,NOERROR,34.102.136.180,,True,google,,,,,
radygenomics.zip,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-b1.googledomains.com, ns-cloud-b2.googledomains.com, ns-cloud-b3.googledomains.com, ns-cloud-b4.googledomains.com",,NOERROR,,,,,,,,,
raf.zip,"eforward5.registrar-servers.com, eforward4.registrar-servers.com, eforward1.registrar-servers.com, eforward2.registrar-servers.com, eforward3.registrar-servers.com","dns1.registrar-servers.com, hostmaster.registrar-servers.com","dns1.registrar-servers.com, dns2.registrar-servers.com",v=spf1 include:spf.efwd.registrar-servers.com ~all,NOERROR,162.255.119.66,,,,,,,,
rafa.zip,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-d2.googledomains.com, ns-cloud-d1.googledomains.com, ns-cloud-d4.googledomains.com, ns-cloud-d3.googledomains.com",,NOERROR,"216.239.32.109, 216.239.34.109, 216.239.36.109, 216.239.38.109","2001:4860:4802:32::6d, 2001:4860:4802:34::6d, 2001:4860:4802:36::6d, 2001:4860:4802:38::6d",,,,,,,
raid.zip,,"curitiba.ns.porkbun.com, dns.cloudflare.com","maceio.ns.porkbun.com, salvador.ns.porkbun.com, curitiba.ns.porkbun.com, fortaleza.ns.porkbun.com",,NOERROR,"44.227.76.166, 44.227.65.245",,,,,,,,
ramblings.zip,,"ns1.101domain.com, ADMIN.ramblings.zip","ns1.101domain.com, ns5.101domain.com, ns2.101domain.com",,NOERROR,52.60.87.163,,,,,,,,
rami.zip,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-c1.googledomains.com, ns-cloud-c2.googledomains.com, ns-cloud-c3.googledomains.com, ns-cloud-c4.googledomains.com",,NOERROR,"216.239.32.21, 216.239.34.21, 216.239.36.21, 216.239.38.21","2001:4860:4802:32::15, 2001:4860:4802:34::15, 2001:4860:4802:36::15, 2001:4860:4802:38::15",,,,,,,
ramses.zip,mail.ramses.zip,"dns01.manitu.net, hostmaster.manitu.net","dns02.manitu.net, dns01.manitu.net",v=spf1 mx a include:_spf.manitu.net -all,NOERROR,"217.11.48.172, 217.11.48.200, 217.11.49.200","2a00:1828:1000:2172::2, 2a00:1828:1000:1148::2, 2a00:1828:1000:1149::2",,,letsencrypt.org,,,,
ransomeware.zip,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-c3.googledomains.com, ns-cloud-c4.googledomains.com, ns-cloud-c1.googledomains.com, ns-cloud-c2.googledomains.com",,NOERROR,,,,,,,,,
ransomware.zip,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-d4.googledomains.com, ns-cloud-d3.googledomains.com, ns-cloud-d1.googledomains.com, ns-cloud-d2.googledomains.com",,NOERROR,,,,,,,,,
raphaelcohen.zip,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-a2.googledomains.com, ns-cloud-a3.googledomains.com, ns-cloud-a1.googledomains.com, ns-cloud-a4.googledomains.com",,NOERROR,,,,,,,,,
rapid.zip,localhost,"ns1.sedoparking.com, hostmaster.sedo.de","ns2.sedoparking.com, ns1.sedoparking.com",v=spf1 -all,NOERROR,64.190.63.111,,,,,,,,
rapidminer.zip,,"pdns09.domaincontrol.com, dns.jomax.net","pdns09.domaincontrol.com, pdns10.domaincontrol.com",,NOERROR,"15.197.142.173, 3.33.152.147",,,,,,,,
rapidscale.zip,,"ns59.domaincontrol.com, dns.jomax.net","ns59.domaincontrol.com, ns60.domaincontrol.com",,NOERROR,"34.102.136.180, 97.74.100.31, 173.201.68.31","2603:5:2143::1f, 2603:5:2243::1f",True,google,,,,,
raport.zip,,"brianna.ns.cloudflare.com, dns.cloudflare.com","dale.ns.cloudflare.com, brianna.ns.cloudflare.com",,NOERROR,"108.162.193.95, 172.64.33.95, 173.245.59.95, 108.162.192.245, 172.64.32.245, 173.245.58.245","2606:4700:58::adf5:3b5f, 2803:f800:50::6ca2:c15f, 2a06:98c1:50::ac40:215f, 2606:4700:50::adf5:3af5, 2803:f800:50::6ca2:c0f5, 2a06:98c1:50::ac40:20f5",,,,,,,
rapp.zip,"route3.mx.cloudflare.net, route2.mx.cloudflare.net, route1.mx.cloudflare.net","ara.ns.cloudflare.com, dns.cloudflare.com","ara.ns.cloudflare.com, lex.ns.cloudflare.com",v=spf1 include:_spf.mx.cloudflare.net ~all,NOERROR,"188.114.96.3, 188.114.97.3","2a06:98c1:3120::3, 2a06:98c1:3121::3",True,cloudflare,,,,,
rasch.zip,,"cora.ns.cloudflare.com, dns.cloudflare.com","ned.ns.cloudflare.com, cora.ns.cloudflare.com",,NOERROR,"104.21.71.26, 172.67.142.109","2606:4700:3032::6815:471a, 2606:4700:3031::ac43:8e6d",True,cloudflare,,,,,
raspberrypi.zip,,"curitiba.ns.porkbun.com, dns.cloudflare.com","fortaleza.ns.porkbun.com, maceio.ns.porkbun.com, salvador.ns.porkbun.com, curitiba.ns.porkbun.com","57242c1d22c2de03c969389c9fd2faf88866123e, Reserved for a trademark owner to defend it from any kind of infringement. I don't plan to use the mark in any kind, including in commerce. I would be glad to receive a reward, it's not necessary, it's just an option. Contact me at offer@sixfigures.ltd to,  transfer a domain to a trademark representative",NOERROR,"44.230.85.241, 52.33.207.7",,,,,,,,
rational.zip,,"ns1.dan.com, dns.jomax.net","ns1.dan.com, ns2.dan.com",,NOERROR,3.64.163.50,,,,,,,,
rc0.zip,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-d2.googledomains.com, ns-cloud-d1.googledomains.com, ns-cloud-d3.googledomains.com, ns-cloud-d4.googledomains.com",,NOERROR,167.71.21.3,,,,,,,,
rcon.zip,,"rob.ns.cloudflare.com, dns.cloudflare.com","rob.ns.cloudflare.com, sara.ns.cloudflare.com",,NOERROR,,,,,,,,,
re4.zip,"eforward4.registrar-servers.com, eforward2.registrar-servers.com, eforward3.registrar-servers.com, eforward1.registrar-servers.com, eforward5.registrar-servers.com","blakely.ns.cloudflare.com, dns.cloudflare.com","wesley.ns.cloudflare.com, blakely.ns.cloudflare.com",v=spf1 include:spf.efwd.registrar-servers.com ~all,NOERROR,,,,,,,,,
reactjs.zip,"alt2.gmr-smtp-in.l.google.com, gmr-smtp-in.l.google.com, alt1.gmr-smtp-in.l.google.com, alt3.gmr-smtp-in.l.google.com, alt4.gmr-smtp-in.l.google.com","ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-b1.googledomains.com, ns-cloud-b3.googledomains.com, ns-cloud-b2.googledomains.com, ns-cloud-b4.googledomains.com",,NOERROR,,,,,,,,,
rebellion.zip,,"ns1.dan.com, dns.jomax.net","ns1.dan.com, ns2.dan.com",,NOERROR,3.64.163.50,,,,,,,,
reboot.zip,,"ns69.domaincontrol.com, dns.jomax.net","ns70.domaincontrol.com, ns69.domaincontrol.com",,NOERROR,34.102.136.180,,True,google,,,,,
receita.zip,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-c2.googledomains.com, ns-cloud-c1.googledomains.com, ns-cloud-c3.googledomains.com, ns-cloud-c4.googledomains.com",,NOERROR,,,,,,,,,
received.zip,,"ns-1272.awsdns-31.org, awsdns-hostmaster.amazon.com","ns-1272.awsdns-31.org, ns-1985.awsdns-56.co.uk, ns-413.awsdns-51.com, ns-853.awsdns-42.net",,NOERROR,"108.138.17.3, 108.138.17.23, 108.138.17.25, 108.138.17.97",,True,cloudfront,,,,,
recital.zip,mail.happyisp.com,"ns1.pql.net, webmaster.pql.net","ns4.tppns.com, ns2.pql.net, ns3.tppns.com, ns1.pql.net",v=spf1 ip6:fdd6:0922:223b::/48 -all,NOERROR,34.196.13.28,,,,,,,,
recordedfuture.zip,"eforward5.registrar-servers.com, eforward4.registrar-servers.com, eforward1.registrar-servers.com, eforward2.registrar-servers.com, eforward3.registrar-servers.com","dns1.registrar-servers.com, hostmaster.registrar-servers.com","dns1.registrar-servers.com, dns2.registrar-servers.com",v=spf1 include:spf.efwd.registrar-servers.com ~all,NOERROR,,,,,,,,,
recov.zip,smtp.google.com,"etienne.ns.cloudflare.com, dns.cloudflare.com","etienne.ns.cloudflare.com, zita.ns.cloudflare.com",google-site-verification=4eGvu1kqICYzbI2WKasyKnMw9guhGzDVJgAHZDdMZoA,NOERROR,76.76.21.21,,,,,,,,
recursive.zip,"route2.mx.cloudflare.net, route3.mx.cloudflare.net, route1.mx.cloudflare.net","dan.ns.cloudflare.com, dns.cloudflare.com","dan.ns.cloudflare.com, val.ns.cloudflare.com",v=spf1 a mx include:_spf.mx.cloudflare.net ~all,NOERROR,"188.114.97.3, 188.114.96.3","2a06:98c1:3121::3, 2a06:98c1:3120::3",True,cloudflare,"zerossl.com, pki.goog; cansignhttpexchanges=yes, digicert.com; cansignhttpexchanges=yes, letsencrypt.org, comodoca.com, mailto:certs@0x3e8.com",,,,
reddy.zip,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-d3.googledomains.com, ns-cloud-d2.googledomains.com, ns-cloud-d1.googledomains.com, ns-cloud-d4.googledomains.com",,NOERROR,,,,,,,,,
redspark.zip,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-b1.googledomains.com, ns-cloud-b2.googledomains.com, ns-cloud-b3.googledomains.com, ns-cloud-b4.googledomains.com",,NOERROR,,,,,,,,,
redx.zip,,"ns05.domaincontrol.com, dns.jomax.net","ns06.domaincontrol.com, ns05.domaincontrol.com",,NOERROR,"34.102.136.180, 97.74.102.3, 173.201.70.3","2603:5:2160::3, 2603:5:2260::3",True,google,,,,,
refresco.zip,,"burt.ns.cloudflare.com, dns.cloudflare.com","kim.ns.cloudflare.com, burt.ns.cloudflare.com",,NOERROR,"188.114.97.3, 188.114.96.3","2a06:98c1:3121::3, 2a06:98c1:3120::3",True,cloudflare,,,,,
register.zip,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-d2.googledomains.com, ns-cloud-d1.googledomains.com, ns-cloud-d3.googledomains.com, ns-cloud-d4.googledomains.com",,NOERROR,,,,,,,,,
regsrv.zip,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-d4.googledomains.com, ns-cloud-d3.googledomains.com, ns-cloud-d2.googledomains.com, ns-cloud-d1.googledomains.com",,NOERROR,,,,,,,,,
regulamin.zip,195.167.146.118.regulamin.zip,"ns1.kylos.pl, hostmaster.regulamin.zip","ns1.kylos.pl, ns2.kylos.pl",v=spf1 a mx ip4:195.167.146.118 ~all,NOERROR,94.154.117.56,,,,,,,,
reid.zip,"alt4.aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx.l.google.com, alt3.aspmx.l.google.com","lucy.ns.cloudflare.com, dns.cloudflare.com","lucy.ns.cloudflare.com, walt.ns.cloudflare.com",v=spf1 include:_spf.google.com ~all,NOERROR,,,,,,,,,
reimu.zip,,"rosa.ns.cloudflare.com, dns.cloudflare.com","toby.ns.cloudflare.com, rosa.ns.cloudflare.com",,NOERROR,"104.21.93.123, 172.67.209.224, 108.162.192.228, 172.64.32.228, 173.245.58.228, 108.162.193.239, 172.64.33.239, 173.245.59.239","2606:4700:3037::ac43:d1e0, 2606:4700:3033::6815:5d7b, 2606:4700:50::adf5:3ae4, 2803:f800:50::6ca2:c0e4, 2a06:98c1:50::ac40:20e4, 2606:4700:58::adf5:3bef, 2803:f800:50::6ca2:c1ef, 2a06:98c1:50::ac40:21ef",True,cloudflare,,,,,
rekening.zip,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-b1.googledomains.com, ns-cloud-b3.googledomains.com, ns-cloud-b2.googledomains.com, ns-cloud-b4.googledomains.com",,NOERROR,"216.239.32.107, 216.239.34.107, 216.239.36.107, 216.239.38.107","2001:4860:4802:32::6b, 2001:4860:4802:34::6b, 2001:4860:4802:36::6b, 2001:4860:4802:38::6b",,,,,,,
release-notes.zip,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-a1.googledomains.com, ns-cloud-a2.googledomains.com, ns-cloud-a3.googledomains.com, ns-cloud-a4.googledomains.com",,NOERROR,,,,,,,,,
releasenotes.zip,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-b1.googledomains.com, ns-cloud-b2.googledomains.com, ns-cloud-b3.googledomains.com, ns-cloud-b4.googledomains.com",,NOERROR,,,,,,,,,
reliability.zip,,"ns1.dan.com, dns.jomax.net","ns1.dan.com, ns2.dan.com",,NOERROR,3.64.163.50,,,,,,,,
reliaquest.zip,,"ns75.domaincontrol.com, dns.jomax.net","ns75.domaincontrol.com, ns76.domaincontrol.com",,NOERROR,34.102.136.180,,True,google,,,,,
remittanceadvice.zip,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-d3.googledomains.com, ns-cloud-d2.googledomains.com, ns-cloud-d4.googledomains.com, ns-cloud-d1.googledomains.com",,NOERROR,,,,,,,,,
remotedesktop.zip,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-b1.googledomains.com, ns-cloud-b4.googledomains.com, ns-cloud-b3.googledomains.com, ns-cloud-b2.googledomains.com",,NOERROR,"216.239.34.21, 216.239.32.21, 216.239.36.21, 216.239.38.21","2001:4860:4802:32::15, 2001:4860:4802:36::15, 2001:4860:4802:34::15, 2001:4860:4802:38::15",,,,,,,
remy.zip,,"kayden.ns.cloudflare.com, dns.cloudflare.com","kayden.ns.cloudflare.com, sneh.ns.cloudflare.com",,NOERROR,,,,,,,,,
renato.zip,"eforward4.registrar-servers.com, eforward1.registrar-servers.com, eforward2.registrar-servers.com, eforward3.registrar-servers.com, eforward5.registrar-servers.com","dns1.registrar-servers.com, hostmaster.registrar-servers.com","dns2.registrar-servers.com, dns1.registrar-servers.com",v=spf1 include:spf.efwd.registrar-servers.com ~all,NOERROR,192.64.119.193,,,,,,,,
renga.zip,,"ophelia.ns.cloudflare.com, dns.cloudflare.com","rex.ns.cloudflare.com, ophelia.ns.cloudflare.com",tcpshield-network-verification=zhEXpwQSXcknA7/5NN3qK1exzATk7uHS7L9nGRt3wASv09TU/2LF+i9lzOgq/+AvWGczRNzZEt2C+H/RkYZ22A==,NOERROR,77.232.134.83,,,,,,,,
renny.zip,"mail.protonmail.ch, mailsec.protonmail.ch","fiona.ns.cloudflare.com, dns.cloudflare.com","fiona.ns.cloudflare.com, ray.ns.cloudflare.com","protonmail-verification=b0fc356d5cc5f6538519000b42a374a6103c679a, v=spf1 include:_spf.protonmail.ch mx ~all",NOERROR,"188.114.96.2, 188.114.97.2","2a06:98c1:3121::2, 2a06:98c1:3120::2",True,cloudflare,,,,,
repository.zip,inbound-smtp.skiff.com,"tina.ns.cloudflare.com, dns.cloudflare.com","tina.ns.cloudflare.com, todd.ns.cloudflare.com",v=spf1 include:udx8esg0mqtbhix.spf.skiff.com -all,NOERROR,"188.114.97.2, 188.114.96.2","2a06:98c1:3121::2, 2a06:98c1:3120::2",True,cloudflare,,,,,
republicans.zip,,"ns1.bodis.com, dnsadmin.bodis.com","dns1.registrar-servers.com, dns2.registrar-servers.com",,NOERROR,199.59.243.224,,,,,,88202.bodis.com,,
republique.zip,"spool.mail.gandi.net, fb.mail.gandi.net","ns1.gandi.net, hostmaster.gandi.net","ns-196-a.gandi.net, ns-159-c.gandi.net, ns-204-b.gandi.net",v=spf1 include:_mailcust.gandi.net ?all,NOERROR,217.70.184.38,,,,,,,,
reqbin.zip,,"ns1.101domain.com, ADMIN.reqbin.zip","ns2.101domain.com, ns5.101domain.com, ns1.101domain.com",,NOERROR,76.76.21.21,,,,,,,,
requests.zip,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-e2.googledomains.com, ns-cloud-e1.googledomains.com, ns-cloud-e3.googledomains.com, ns-cloud-e4.googledomains.com",,NOERROR,,,,,,,,,
researchdata.zip,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-b3.googledomains.com, ns-cloud-b1.googledomains.com, ns-cloud-b2.googledomains.com, ns-cloud-b4.googledomains.com",,NOERROR,,,,,,,,,
resim.zip,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-c4.googledomains.com, ns-cloud-c3.googledomains.com, ns-cloud-c2.googledomains.com, ns-cloud-c1.googledomains.com",,NOERROR,,,,,,,,,
resimler.zip,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com","ns-cloud-e4.googledomains.com, ns-cloud-e3.googledomains.com, ns-cloud-e2.googledomains.com, ns-cloud-e1.googledomains.com",,NOERROR,,,,,,,,,
resourcepack.zip,,"adel.ns.cloudflare.com, dns.cloudflare.com","adel.ns.cloudflare.com, anuj.ns.cloudflare.com",,NOERROR,"172.67.164.250, 104.21.49.166","2606:4700:3034::6815:31a6, 2606:4700:3037::ac43:a4fa",True,cloudflare,,,,,
